职位名称,薪资,所在地,职位简介,职位详情,经验要求,学历要求,招聘人数,公司名称,类型,规模,领域,公司详情
数据分析师 Data Account Manager,1-1.5万/月,上海,|做五休二|节日福利|交通补贴|五险一金|补充医疗保险|年终奖金,| |本职位负责进行（媒体）特定市场观察，开展数据分析，支持咨询服务，促进客户业务的发展。| || |1.通过持续的市场和行业跟踪，发现最新进展和趋势；| |2.全面了解市场和媒体诀窍；| |3.就战略和战术业务问题，为高级管理层和客户管理人员提供基于事实的见解；| |4.利用特殊分析工具（合适的行业工具），进行各种分析；| | |丰富的市场/媒体知识| |较高的计算能力| |能够关注最相关点——从海量信息中找出最关键事实| |好奇心——发现数字背后的故事| |解决问题的能力| 沟通和演示能力|职能类别：广告客户经理市场分析/调研人员|关键字：数据分析舆情分析sociallistening,3-4年经验,本科,1,上海埃特公关咨询有限公司,民营公司,150-500人,广告,"艾特内容整合传播成立于1999年，是多家全球500强及世界一流品牌在中国的指定数字营销传播公司。总部位于上海，在北京等主要城市设有分支和联络机构。擅长品牌策略、市场营销、社会化电子商务整合传播及危机管理，拥有国内外传播的丰富经验。除为客户提供专业策划及国际标准的服务建议外，埃特更将对本地市场的深入了解与富有创意的执行策略揉合在一起，为顾客提供比他们预期更高的服务水平承诺。主要客户包括宝洁集团、百威英博集团、奥利奥中国、辉瑞制药、惠氏营养、新百伦、光明莫斯利安、白象集团、迪士尼、创行等。埃特凭借精英团队的策划及整体专业执行能力，多次获得国内外专业大奖，是国内主要的独立数字营销传播公司之一。Establishedin1999,@commisaleadingindependentChina’scontentdrivenintegratedcommunicationagencyappointedbymanyglobaltop500andworldfirst-classbrands.HeadquarteredinShanghai,wealsohaveabranchinBeijingandaffiliatesinothermajorcitiesofChina.Becauseofthefruitfulnationalandinternationalcommunicationexperience,wearetheexpertsofbrandstrategy,marketingcommunication,E-commerceandcrisismanagementetc.Exceptprovidingprofessionalplanandinternationalstandardservice,@commcombinesin-depthunderstandingoflocalmarketwithcreativeexecutionstrategyforofferingtheover-exceptedservice.OurclientsincludingP&G,ABInBev,Oreo,Pfizer,WyethNutrition,NewBalance,MomchilovtsiofBrightDairy,BaixiangGroup,Disney,Enactusetc.Thankstoourexcellentteamandperfectexecution,@comm’sworkhaswonnumerousnational&internationalawards."
大数据分析,0.8-1.5万/月,东莞,|弹性工作|五险一金|绩效奖金|节日福利|员工旅游|定期体检|包吃,|任职要求：|1、本科及以上学历，统计学、数学类相关专业；  具有企业数据分析、机要秘书、成本核算、审计、监察等岗位经验；具备快消品大数据从业经验优先考虑；|2、熟练掌握数据分析方法，能操作Excel、SPSS、SQL等数据分析工具做相关性数据分析；|3、良好的逻辑思维能力，保密意识。||岗位职责|1、能够深入了解业务，挖掘业务问题和痛点，针对运营问题进行深度诊断，通过商业分析为公司运营决策、产品规划、运营规划提供数据支持；|2、定期输出月度、季度、年度公司经营方面的分析报告，针对各项不定期业务需求，完成专题分析报告；|3、对销售数据进行汇总与分析，针对异常数据进行追踪并处理，分析异常原因并反馈；|4、统一整合公司各部门关联数据，ERP系统输出数据等；能及时准确地为各部门提供所需报表。|||职能类别：业务分析经理/主管,2年经验,本科,1,广东金添动漫股份有限公司,民营公司,150-500人,快速消费品(食品、饮料、化妆品),"广东金添动漫股份有限公司（以下简称“公司”）成立于2011年，注册资金人民币伍仟万元，总部设立于广东东莞，在全国20多个省级地区设立了办事处，是一家以动漫休闲食品为主，并以“添乐卡通王”""“添乐”品牌运营多年的股份有限公司，公司经营范围为动漫投资、实业投资、销售文具、服装、玩具、预包装食品的全方位企业。目前，公司已获得授权品牌：华特迪士尼：米奇、漫威、时代华纳：“超人VS蝙蝠侠”、环球影业：“小黄人系列”、圆谷“奥特曼系列”、小学馆“哆啦A梦”、奥飞：“喜羊羊与灰太狼”、“铠甲系列”、“巴啦啦小魔仙”、华强“熊出没”等国内外一线动漫形象，同时也拥有“多嘴鱼”、“巧魔方”、“伊脆”等原创品牌，是一家集投资、策划、设计、推广、销售于一体的股份制企业，并于2016年8月在新三板成功上市（股票代码：838200）。广东金添动漫股份有限公司与多家专注于食品制造的企业建立了长期的战略伙伴关系，能稳定高质的保证公司旗下薯条、饼干、糖果、蛋糕、巧克力等产品的供应；拥有专业的研发团队，能够对动漫品牌深度解读和对公司产品准确定位；结合完善的仓储和物流配送、一流的营销及管理团队、覆盖全国的销售渠道，强大的资源整合能力，使金添动漫已成为动漫食品行业的领军企业。广东金添动漫股份有限公司始终坚持客户、员工、企业的共同发展理念，凭借良好的信誉，赢得了众多客户的信赖与好评，在行业内树立了良好的声誉和形象，成为中国首个汇集众多世界知名动漫品牌的专业动漫休闲食品运营商。广东金添动漫股份有限公司——传递动漫文化，共赢行业财富。为全面提升品牌实力，使公司在专业化、多元化的轨道上稳健前行、持续健康发展，我们确定了“汇聚金添，创新共进，乐享成长”的核心价值观，并将企业战略由“动漫食品行业领导者”向“品味文化的领导者”稳步升级。"
数据分析师,1.8-2.5万/月,上海,|五险一金|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|弹性工作|定期体检,|1、根据市场环境和业务需求承担复杂分析任务，并将各类业务痛点转化为合适的数学模型；|2、沉淀分析思路与框架，推动业务数据需求的量化；|3、参与和支持数据分析，对接项目、产品和技术，推动数据可视化和业务模型的落地。|能力要求：|1、统招本科及以上学历，数学、统计、计算机类专业；|2、精通SQL、Python、Excel，熟悉统计类语言，R语言、Matlab等；|3、熟练掌握Power BI或Tableau等优先；|4、对数据有较高的敏感度和警觉性，开拓性思维；|5、具备商业分析思维和能力，以及良好的团队合作精神；|职能类别：大数据开发工程师|关键字：数据分析建模,2年经验,本科,若干,广州市汇尚网络科技有限公司,民营公司,150-500人,互联网/电子商务,广州汇尚网络科技有限公司（公司网址：www.innshine.com）汇尚，品牌电商数字化管理及运营服务提供商。在电商核心领域具有自己可复制的方法论和具备行业高水平的品牌电商化、运营智能化服务能力，致力于为全球企业提供全网一站式服务解决方案。公司概况：2009年6月，在电子商务迅猛发展的大背景下，我们牢牢抓住了市场的契机，在华南率先成立了这家专业服务国际一线品牌的电子商务代运营公司。在2010年末，我们来到了上海。在2017天猫星级服务商评选中，我司被评为五星服务商。汇尚的主营业务是为各大品牌企业提供电子商务各环节服务，包括网店建设、营销推广及运营等。在过去的数年时间里，已经迅速成长为一家既活跃在淘宝/天猫体系内，同时又将服务层面拓宽到包括京东、亚马逊、乐峰、聚美等全电子商务平台，乃至延伸到微信等移动电商上的优质代运营服务公司。公司企业文化：有温度，有使命；成就彼此的未来，实现更好的自己。团队介绍：现阶段全司员工超过400人，上海公司员工超过200人。我们的团队由拥有多年电子商务网站、店铺建设、运营与营销推广经验的成员组成，同时配有成熟的客服团队与运营体系。正是整个团队的强大合力，使公司在短时间内成为各大国际品牌及国内各电商平台电子商务生态链中最核心的合作伙伴。办公环境：公司办公室位于上海长宁区遵义路南丰城，距离轨道交通2号线娄山关站数分钟路程。公司薪酬福利：1.五天工作制，按国家规定的法定节假日休息；2.为员工缴纳五险一金（养老保险、医疗保险、生育保险、失业保险、工伤保险，住房公积金）；3.提供行业内具有竞争力的薪资并有午餐补贴；4.提供员工在职培训、进修补助等；5.提供工间下午茶、团队建设、旅游等；6.每年提供免费职业健康体检。欢迎八方怀揣理想与热情的电商人才加入我们的大家庭，让我们携手共创事业发展与家庭生活的双丰收！
数据分析主管,1-1.5万/月,杭州,|餐饮补贴|绩效奖金|年终奖金|定期体检,|岗位职责：|职能类别：其他|关键字：数据分析数据统计数据管理,3-4年经验,大专,1,杭州明骏实业有限公司,民营公司,150-500人,服装/纺织/皮革,OTT关爱中国独立***心灵的设计品牌2002年，OTT进入中国高端百货零售市场。随着OTT市场逐步生长，至2009年春，拥有30000多名忠实VIP顾客，店铺80家，遍布全国30多个主流城市、地区；一直以来，OTT以其敏锐的市场触觉以及不趋同于流行的设计，使得品牌一直处于市场的最前端。OTT一直关注中国独立***生活现状，以独立内心为出发点进行创作。在赢得市场的同时，也坚定了其在高端百货零售业态中独有的位置。OTT用电影的手法，诉说人生的故事；每一段蒙太奇的片断剪辑，都会让每一次的故事发展有不同的结果；而这种未知的可能性，不正是我们在一成不变的现实生活中寻找的那一个心灵驿站吗？毕业，你将离开你人生的那个可以避风雨的驿站；工作，却展开了你人生迷幻的蒙太奇剪辑；OTT，拥有一个富有理想和激情的团队，在创新与设计中，表达你的理想，你的追求在这个团队中，实现你的价值，为之奋斗，实现你的梦想你必须热爱时装，有领悟力、创造力和敏锐度；执着、敬业，善于沟通。OTT为你提供可持续发展的机会和空间，具竞争力的薪资待遇和福利保障，从而让你的人生拥有我们共同的幸福感与幸福价值观。
数据分析,0.8-1万/月,深圳,,|短视频产品数据分析工作|SQL能力，高|Excel能力，高|有数据分析经验、产品运营经验|职能类别：市场分析/调研人员大数据开发工程师|关键字：数据分析大数据SQL,2年经验,本科,3,深圳市法本信息技术股份有限公司,上市公司,5000-10000人,计算机服务(系统、数据服务、维修),深圳市法本信息技术股份有限公司（以下简称：法本信息）是全国领先的软件技术服务提供商，致力于通过创新技术服务帮助客户快速实现业务目标，取得商业成功。公司成立于2006年，至2019年底，员工规模已超8000人。其总部位于中国深圳，目前公司在香港设有子公司，在北京、上海、广州、南京、杭州设有分公司，在武汉、长沙、成都、西安、佛山等城市设立办公室，业务范围覆盖全国，并在积极拓展海外业务。法本信息在十多年的信息技术服务与探索中，积累了丰富的实战技术资源、专业人才资源、标杆客户资源，并构建了逐步成熟的过程实施与质量管控体系，这些软实力构成了法本信息优秀的资源基础。在此基础上，法本信息紧随时代前沿技术，是首批对大数据、云计算、物联网、人工智能、移动、社交、信息安全等核心技术做成功应用的服务商之一，有着领先的技术能力。同时，法本信息基于客户的实际业务的应用场景做深入研究，以洞察行业特性和本质，开发并成功实践行业解决方案。法本信息客户遍布金融、互联网、通信、物流、航空、房地产、制造业等行业的领先企业。公司在以信息技术助推客户的商业升级中，采用“匹配、联合”的战略与客户做深度合作，从而形成了丰富而优秀的客户资源。在未来，我们将通过和优质客户进行业务全价值链的紧密合作，营造良好生态，用创新来共同改变世界。公司网站：http://www.farben.com.cn/公司地址：深圳市南山区高新北六道15号昱大顺科技园B座
数据分析师,0.8-1.6万/月,广州,|五险一金|弹性工作|定期体检|专业培训|绩效奖金|年终奖金|股票期权|员工旅游|餐饮补贴,|岗位职责：|1、深入了解业务，根据不同业务形态，整合业务数据并搭建统一有效的数据监控与分析挖掘体系；|2、日常收集与监控各项业务运营数据，为业务部门提供运营分析支持，并输出日常监控报告；|3、制定各业务数据标准，根据数据分析结果推动部门运营策略制定与决策；|4、搭建用户标签库，进行用户合理的分层与分群标签与管理，设计用户成长体系数值；|岗位要求：|1、2年以上互联网运营数据分析相关工作经验，有数据驱动业务发展实际成功案例者优先；|2、具备较强的数据整理分析与挖掘能力，对互联网运营相关数据敏感|3、具备良好的沟通能力，跨多个业务部门共同推动数据采集与目标达成|职能类别：大数据开发工程师|关键字：数据分析师数据分析数据运营大数据分析,2年经验,大专,1,广东灵机文化传播有限公司,民营公司,150-500人,互联网/电子商务,【公司介绍】广东灵机文化传播有限公司（简称：灵机文化）成立于2006年，于2009年正式进入传统文化领域。是全球领先的中华优秀传统文化整合传播平台，我们坚持传承优秀中华传统文化，以“信、德、仁、勇”作为企业核心价值观。使用领先的大数据和AI人工智能技术将华夏三千年的易文化进行数字化处理，为人类教育、事业、生活和居住环境创造美好体验。总部位于香港，内地总部位于广州，在台湾设有分部。【灵机实力】1、超过1亿的注册用户遍布157个国家和地区，服务受众覆盖0-80岁全年龄段2、完整矩阵式产品易文化互联网应用超过200个，下载量超过1.2亿3、集结易学领域最强师资签约162位易文化***老师，是中国目前聚众最多、覆盖领域***的平台4、超强明星阵容加持一线女星李彩桦担任灵机文化情感大使实力派视帝黎耀祥担任灵机文化财富大使5、全球领先企业信赖共创双赢Google亚太地区VIP合作伙伴为阿里云提供黄历的数据源输出服务，直面千万级企业用户为小米、魅族、金立等手机厂商提供黄历数据源输出，服务千万手机用户6、***的自媒体流量矩阵【业务体验】开发的命理理类互联网应用超过200个，注册用户突破1亿灵机明星APP产品：顺历、紫微斗数、灵机妙算、风水罗盘线上语音咨询平台：易起问灵机电商品牌：灵机吉品【企业福利】位置：身处广州羊城创意产业园，繁华市区，闹中取静，交通便利，吃喝不愁！人才：是灵机最宝贵的财富，我们为员工提供各种丰富的福利！注意！以下文字可能会让您流口水，请注意形象~~1.当您准备购买爱巢的时，我们为您提供30万无息贷款，同时送上6666的礼金；2.当你荣升奶爸/妈的时候，我们将会为您本人和子女添一份商业保险，为您和子女的健康多筑一道保障；3.当您平时忙于工作，无暇顾及家人的时，“向日葵”计划出游福利，让带上您的家人去看看世界，去放松一下紧绷的心灵；5.每一年，我们都将大力奖励优秀的小伙伴，加入梦想合伙人，获得期权分红；6.每一年，我们一起去看看这个世界（带你去浪漫的土耳其，东京和巴黎）；7.每一年，我们一起去做个健康体检，爱人从爱自己开始；8.每一年，提供一次免费在线测算体验，不问前程如何，但求万事无悔；9.每一年，专属于你与灵机的纪念日，我们会为你准备精美的礼物，按入职年限金额递增；10.每一季，我们一起身体力行参加公益活动，坚持了多年，希望未来的公益之路，能与你同行；11.每一季，绩效奖金，额外的收入哦；12.每一月，灵机小卖部6折活动日，真是6到飞起；13.每一月，我们将一起读一本书，保持学习一起成长；14.每一周，羽毛球、篮球、足球、读书、各类兴趣小组，你喜欢哪个？15..每一天，灵机御用厨师将提供营养早餐、午餐，势必把你养的白白胖胖；16..每一个传统节假日，我们都将组织各种类型的活动和小礼品；17.每一天，愉悦的办公氛围，你还在等什么？每一年，每一天，我们都在进步。更多福利，完善中，请拭目以待……然后呢，一起走吧》》》》》【工作时间】1、9:00-18:30（午休12:30-14:00）【部分同事弹性工作制】2、每年3-8月：双休3、每年9-次年2月：大小周欢迎关注我们微信公众号：MMCLICK（灵机文化HR）了解更多资讯地址：广州市天河区黄埔大道中309号羊城创意园3-08栋三楼A区
大数据分析,1.5-2.5万/月,温州,|包吃|节日福利|法定节假日|社保（五险）|办公豪华|下午茶福利|提供宿舍|周末双休|定期体检|股权激励,"|1、负责运营业务数据调研、需求理解，数据采集方案设计及实现；|2、对接财务计划部供应链计划管理，规划执行产品线周/季度计划，进行供应链计划完成检讨与改进；|3、负责运营监控系统的数据维护和更新，并对相关报表进行改进与完善，优化运营监控系统。|任职要求|1、本科及以上学历，从事数据相关工作或从事亚马逊数据化运营相关工作不少于一年；|2、有大数据相关工作经验，熟悉使用Spark sql、hive、Impala、sqoop、hbase、Redis等一种以上大数据组件;熟悉sql调优；|3、具有高度的责任感，有较好的团队精神，思路清晰,有良好的沟通能力。|职能类别：大数据开发工程师|关键字：大数据开发大数据分析电商",3-4年经验,本科,1,电兔电子商务有限公司,民营公司,150-500人,互联网/电子商务,温州电兔电子商务有限公司是一家以外贸B2C电子商务运营为核心业务，专注网络营销、品牌建设和供应链管理的公司。公司总部位于美丽的瓯江之畔-浙江温州龙湾蓝江软件园。公司员工近200名，本科学历以上员工达到80%，有近1/3员工有出国留学经历。我们还有从深圳、杭州引进的多名运营及管理的高端人才。目前旗下拥有温州电兔电子商务有限公司等8家公司，2019年计划杭州、深圳、美国、欧洲等多个国家和地区再增加10家公司，目前深圳公司已注册并开始运营。公司主营平台亚马逊、eBay等，后续还将入住Shopee、Lazada、SOUQ、NOON等多个新平台，而开辟更广阔的市场。经营产品涵盖宠物用品、床上用品，家居、汽配、办公家具等品类。我们能提供什么？公司愿景：做世界一流电商；公司使命：因为电商，让幸福生活更简单一点；公司价值观：以德为本，变革为魂。电兔始终在践行自己的价值观，电兔是全体电兔人的电兔，是中国的电兔，是世界的电兔。从员工发展来说，实事求是的说，我们的员工成长速度比深圳、杭州同行业的员工成长速度更快，因为我们有中国最***的团队在培养您。从薪资待遇来说，这几年我们让部分核心员工享受公司业绩的提成，2017年我们试点了员工配股制，在2018年，我们已有6位员工享受到了公司的股权激励福利政策，2019年又有18位员工入围！后续将会有越来越来多的与公司共同成长的员工享受到股权激励成为公司的股东。公司视员工如同家人，在这里您就如同回到家一样，各种福利待遇应有尽有，其中包括员工关怀福利、员工成长福利、员工发展福利、团队建设等福利。只要您有能力，欢迎您来谈您期望的薪资及奖金，五险、双休、包吃、法定节假日、年假、各种节日福利那是基本，我们提供开放分享的平台，来吧，提出你的idea，来这里，会实现你的小目标。至于只要是个节日一言不合就发红包、精心准备的下午茶、生日福利等都只是我们福利体系中的零部件，就不多说了。
销售数据分析,0.6-1万/月,南京,|五险一金|带薪年假|免费班车|节日福利|餐饮补贴|通讯补贴|年底双薪,||职能类别：业务分析经理/主管|关键字：数据分析销售业务数据SQL业务数据业务支持,2年经验,大专,1,联童有限公司,外资（欧美）,500-1000人,计算机软件,<公司介绍>联童成立于2019年2月，是国内首家通过数字化平台、供应链平台以及全渠道运营平台推进母婴童产业链升级的公司，有效联接B端产业链和C端消费链，全力打造全数字化生态平台。旨在通过对本地化的会员和商品的大数据分析，接入多元化的上游品牌商，引进极致性价比和差异化的商品，服务于全***婴店，为门店会员提供母婴玩具、儿童教育、亲子服务、家庭用品等全品类全渠道精选商品和服务，帮助更多母婴家庭创建更美好的生活。联童公司核心成员均来自中***婴童新零售和互联网平台领先企业，对母婴童新零售、数字化技术和平台化具有独特的见解和领先优势。目前凭借自身创新的商业模式、数字化产业生态体系、会员社交平台、S2B2C体系等，在仅成立半年内获得巨额天使轮融资。<企业事记>2018年12月24日，联童移动版B2B订货商城上线2019年1月5日，联童开展***期B端用户店长训练营2019年2月1日，江苏联童网络科技有限公司注册成立2019年3月28日，联童***期联童铁军召开2019年5月17日，联童召开首次合资项目宣讲会议2019年6月26日，联童首次合资项目启动（联童科技、河南新乡宜儿婴签约）2019年7月29日，公司完成天使轮融资2019年9月10日，910社群PK赛单日订单破10万单2019年10月1日，国庆社群拼购节全渠道GMV突破千万元2019年11月5日，联童安徽分公司成立2019年11月11日，双十一促销全渠道GMV突破三千万元<企业文化>我们的定位：中***婴童产业新零售解决方案服务商；我们的理念：打造母婴童行业全产业链的赋能平台，实现企业、客户、行业的共享共赢；让联童员工与企业共同成长、共享成功；我们的愿景：打造数字化智能母婴童产业平台；成为中***婴童行业经营者赋能首选。我们的使命：技术驱动，全面赋能，推进中***婴童产业升级。我们的企业价值观：利他——助力客户，提效増利；尊重欣赏，利人利己极简——科技创造简单，高效生产；创业文化，目标导向，结果***。共创——进入场景，创新创造；全力以赴，共创伟业。共享——开放共享，合作共赢；共同成长，共享成功。
产品数据分析员（宏宇陶瓷）,8-9千/月,佛山,|专业培训|通讯补贴|餐饮补贴|弹性工作|社保,||主要工作职责：对于产品销售数据进行分析和统计，制定产品产销数据分析|    ||    |任职要求|||职能类别：大数据开发工程师,1年经验,本科,1,广东宏宇集团有限公司,民营公司,10000人以上,建筑/建材/工程,广东宏宇集团有限公司于1997年始创于“千年陶都”佛山，历经二十年踏实进取，现已发展成为一家以陶瓷产业为主，房地产业、文创产业、旅游产业协同发展的大型现代化企业集团。从创业之初专做广场砖的一家小工厂，发展成为当今规模实力稳居中国建陶行业前列的大企业，宏宇抓住了进入新世纪的中国经济飞速发展的时代机遇，创造了中国陶瓷行业的“宏宇速度”。陶瓷产业不断壮大1997年，宏宇在佛山顺德勒流买下一家乡镇工厂，开始专业生产广场砖。得益于自主研发的“高温快速裸烧广场砖”技术，宏宇的广场砖产量大、能耗低、性价比高，迅速占领了国内市场，***峰时市场占有率达35%。在广场砖领域做到行业***最强后，宏宇逐渐向陶瓷砖全品类产品的生产制造扩张。1999年开始，宏宇集团先后在佛山、清远等地建成了宏宇、宏陶、宏威、宏海四个大型现代化生产基地，并相继推出了宏宇、宏陶、威尔斯、卡米亚、意特陶五大陶瓷品牌，专业产销瓷质抛光砖、釉面砖、仿古砖、全抛釉陶瓷砖、微晶陶瓷复合砖和广场砖。随着在陶瓷行业的开疆拓土、不断发展，宏宇越来越领悟到科技创新对于企业长远发展的重要性。2005年开始，宏宇不断加大在科技创新方面的投入，逐步成长为中国陶瓷行业创新引领企业，2009年被授予“国家高新技术企业”称号。宏宇集团在创新方面始终坚持“多创新+高水平创新”、“通过创新实现绿色环保”、“创新技术广泛覆盖企业产品结构面”三大指导方针，使得产品品质得以不断提升、企业效益持续提高，同时更是为中国陶瓷行业的发展进步做出了突出贡献，为中国陶瓷赢得了世界的尊重。截止目前，宏宇已获得国家发明专利38项，实用新型专利29项；有35项科技成果通过了权威部门鉴定，其中5项达到“国际领先水平”，14项达到“国际先进水平”。2015年，全国建材行业技术革新奖、广东省建材行业技术革新奖同时冠名“宏宇杯”，行业首次、历史罕见。凭借强大的科技创新实力，宏宇集团在国家标准制定方面充分发挥了行业领军企业之一的带头作用，牵头或参与制定《陶瓷砖》、《广场用陶瓷砖》等12项国家标准和4项行业标准，并参与研制《陶瓷墙地砖胶粘剂粘结强度试验用瓷砖标准样品》国家标准物，成为中国陶瓷行业少有的“国家标准制定企业”。2016年，宏宇集团被国家质监总局、国家标准化管理委员会授予“中国标准创新贡献奖”荣誉。房地产业茁壮成长依托在建筑陶瓷领域积累的雄厚实力，宏宇集团于2006年开始踏上了多元化发展的道路，先后涉足房地产业、旅游产业、文创产业。宏宇地产坚持“规模化、精品化、品牌化”发展理念，经营范围以住宅地产为主体，以商业地产为新翼，立足广佛，放眼全国，迅速跻身于大型房地产投资发展商行列。宏宇地产项目的开发涵盖高端洋房、私家别墅、高档公寓、写字楼、商业综合体、星级酒店、物流园、产业园、文旅项目等。目前，宏宇地产已开发的项目有：宏宇?龙津华府、宏宇?景裕嘉园、宏宇?景盛豪庭、宏宇?云璟汇、宏宇?景裕豪园、宏宇?海山壹号、宏宇天御江畔、宏宇国金大厦、宏宇?石湾古镇文创园、宏宇勒流工业园、宏宇东平酒店、宏宇?红峡谷高尔夫球会、宏宇畅运物流园等。文创产业强势发展作为土生土长的佛山石湾本地陶瓷企业，宏宇集团的根深植于中国四大古镇之一的石湾。立足“古镇新星”，志存“行业北斗”，宏宇矢志传承和弘扬石湾陶瓷精湛技艺和悠久文化。2016年7月，宏宇集团收购佛山石湾拥有500年历史的陶瓷文化宝地“南风古灶”周边的大片物业，并获得“南风古灶”的经营权，开发建设佛山市政府牵头规划的世界级陶瓷创新中心“中国陶谷”“一谷八园”中的两大核心园区——石湾古镇文创园、南风古灶园区。同时，宏宇集团还投资2亿元建设“中国陶瓷博物馆”公益项目，为发扬光大博大精深的中国陶瓷文化贡献自己的一份力量。宏宇集团还投入巨资重建佛山石湾历史古迹——宝峰塔，修复文化名胜——莲峰书院和丰宁寺，修旧如旧，***程度还原名胜古迹本来面貌，为石湾历史文化的保护和传承尽心尽力。旅游产业应运而生凭借在房地产业逐步建立的良好基础，看好旅游休闲市场飞速发展的大好形势，宏宇集团顺势而为，于2014年开始涉足旅游产业。在旅游产业开拓之初，宏宇就高起点、大手笔投资建设总占地面积3800亩的海南三亚“红峡谷高尔夫球场”，着力打造风景宜人、环境优美的高端休闲度假景区。2016年，宏宇集团借助自营的佛山地标AAAA级景区“南风古灶”的声名远播，重点打造以南风古灶为中心，石湾古镇文创园、中国陶瓷博物馆、宝峰塔、莲峰书院、丰宁寺环绕连片的陶瓷特色、石湾风土文化旅游产业，发掘佛山文化底蕴，提升佛山城市形象。宏宇宏图，筑梦未来。基于“大宇宙大胸怀大发展”的企业核心文化，宏宇集团始终致力于为市场提供高品质的产品和服务，热心公益，勇担社会责任，为营造更美好人类生活而努力奋斗。
大数据分析-上海闵行-05241 (职位编号：05241),1.5-1.9万/月,上海,,|职位概述|职能类别：软件工程师,2年经验,本科,1,博彦科技股份有限公司,外资（欧美）,10000人以上,计算机软件,博彦科技股份有限公司--加入博彦，携手世界500强博彦科技股份有限公司（简称“博彦科技”，深交所上市公司）是亚洲领先的全方位IT服务及行业解决方案提供商，具备全球范围内的交付能力。业务范围涵盖咨询及解决方案、IT服务、应用程序开发和维护、ERP和BPO（业务流程外包）等服务，专注于高科技、金融服务、电信工程、医药、制造等领域，积累了丰富的经验，与众多全球500强企业和世界领先科技公司成功合作，是全球客户信赖的IT综合服务提供商和战略合作伙伴。博彦科技创立于1995年，总部位于北京，并在中国主要城市设立分支机构和研发中心，在美国、日本、新加坡和印度也都设有交付中心。博彦科技的全球交付能力以及灵活使用现场服务、近岸服务和多级离岸交付中心等交付方式的能力，使得博彦在全球范围内都能够以低成本交付高质量的服务。遍布全球的交付中心使得博彦可以和世界共享自己的服务、行业知识和成熟的流程管理。博彦科技已取得CMMI5认证，拥有完善、成熟的管理和开发流程，确保为客户提供高质量的服务。博彦科技安全系统已达到ISO27001国际标准，遵循严格的安全标准，实施严密的安全措施，以保护客户的信息安全。博彦科技的领军地位也得到了IDC、IAOP等业内权威研究机构的认可。博彦科技于2012年1月在深交所上市，并先后收购了印度ESS、美国ExtendLogic及美国大展集团等多家国际知名IT企业。博彦科技将秉承“超越期待，尽善尽美”的服务理念，作为您IT服务的理想合作伙伴，一如既往的为客户提供优质、专业、高效的服务。IAOP全球外包100强、NeoIT全球外包服务100强、《全球服务》杂志“全球服务100强”、IDC中国离岸软件开发供应商10强国家规划布局内重点软件企业、工信部中国软件业务收入百强企业国际人力资源管理协会“中国行业十佳雇主”招聘联系方式（用于简历投递）：应届生、实习生简历请投递：campus@beyondsoft.com社会人员简历请投递：zhaopin@beyondsoft.com博彦招聘微博互动方式，欢迎@博彦科技@博彦科技招聘@博彦科技校园招聘博彦科技官方地址：http://www.beyondsoft.com博彦科技官方微博：http://weibo.com/beyondsoft博彦科技招聘微博：http://weibo.com/beyondsofthr博彦校园招聘微博：http://weibo.com/beyondsoftUHR
